         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas3844         Pavarde3844             4.93333            4.8
     Vardas3845         Pavarde3845             6.25333            6.2
     Vardas3846         Pavarde3846             3.66667            3.8
     Vardas3847         Pavarde3847             8.26667            8.4
     Vardas3848         Pavarde3848                6.44            6.2
     Vardas3849         Pavarde3849             6.25333            6.2
      Vardas385          Pavarde385             8.29333            8.4
     Vardas3850         Pavarde3850             7.74667            7.8
     Vardas3851         Pavarde3851             7.14667            7.2
     Vardas3852         Pavarde3852                3.24            3.8
     Vardas3853         Pavarde3853             4.30667            4.2
     Vardas3854         Pavarde3854             6.14667            5.4
     Vardas3855         Pavarde3855                5.16              5
     Vardas3856         Pavarde3856             5.13333              5
     Vardas3857         Pavarde3857                4.72            4.8
     Vardas3858         Pavarde3858                6.04            5.8
     Vardas3859         Pavarde3859                4.12            3.8
      Vardas386          Pavarde386                3.96            4.2
     Vardas3860         Pavarde3860                6.64            6.4
     Vardas3861         Pavarde3861             7.22667            7.6
     Vardas3862         Pavarde3862             7.37333            7.4
     Vardas3863         Pavarde3863             2.54667            2.6
     Vardas3864         Pavarde3864             7.21333              7
     Vardas3865         Pavarde3865             6.22667            5.8
     Vardas3866         Pavarde3866                4.64            4.8
     Vardas3867         Pavarde3867                 2.2            2.2
     Vardas3868         Pavarde3868             4.69333            4.4
     Vardas3869         Pavarde3869                5.08              5
      Vardas387          Pavarde387                 7.6              8
     Vardas3870         Pavarde3870             6.37333            6.8
     Vardas3871         Pavarde3871                4.28            4.2
     Vardas3872         Pavarde3872                5.12            4.8
     Vardas3873         Pavarde3873             2.90667            2.4
     Vardas3874         Pavarde3874             3.93333            3.8
     Vardas3875         Pavarde3875                7.28            7.2
     Vardas3876         Pavarde3876                 4.2            4.6
     Vardas3877         Pavarde3877                4.56            4.4
     Vardas3878         Pavarde3878             6.82667            6.8
     Vardas3879         Pavarde3879                3.12            3.2
      Vardas388          Pavarde388                3.56            3.8
     Vardas3880         Pavarde3880             4.86667            4.6
     Vardas3881         Pavarde3881             4.77333            5.2
     Vardas3882         Pavarde3882                 8.2            8.2
     Vardas3883         Pavarde3883                8.16            8.4
     Vardas3884         Pavarde3884             8.45333            8.8
     Vardas3885         Pavarde3885                 4.8            5.2
     Vardas3886         Pavarde3886             4.42667            4.4
     Vardas3887         Pavarde3887             3.02667              3
     Vardas3888         Pavarde3888             4.97333              5
     Vardas3889         Pavarde3889             5.70667            5.6
      Vardas389          Pavarde389                4.12            3.8
     Vardas3890         Pavarde3890                6.68            6.6
     Vardas3891         Pavarde3891             4.05333              4
     Vardas3892         Pavarde3892             7.97333            7.6
     Vardas3893         Pavarde3893             6.54667            6.2
     Vardas3894         Pavarde3894             7.22667            7.6
     Vardas3895         Pavarde3895             3.41333            3.6
